"filename","url","tags","assetType","format","moderationStatus","publicId","assetId","displayName","deliveryType","createdAt"
"Li-Mega-MPV-1001x565-(2)","https://carsguide-res.cloudinary.com/image/upload/v1733814127/editorial/story/hero_image/Li-Mega-MPV-1001x565-%282%29.psd","","image","psd","","editorial/story/hero_image/Li-Mega-MPV-1001x565-(2)","1b845a1d3ca183e563ed8964c66c0896","","upload","2024-12-10T07:02:07Z"
"2025-Isuzu-D-Max-BEV-Render-1001x565-(1)","https://carsguide-res.cloudinary.com/image/upload/v1730419385/editorial/2025-Isuzu-D-Max-BEV-Render-1001x565-%281%29.psd","","image","psd","","editorial/2025-Isuzu-D-Max-BEV-Render-1001x565-(1)","f50c81995ab62e4ad0cf8e0e74cae106","","upload","2024-11-01T00:03:05Z"
"2025-Hyundai-Tucson-Hybrid-Base-SUV-1200x800-(1)","https://carsguide-res.cloudinary.com/image/upload/v1721281367/editorial/2025-Hyundai-Tucson-Hybrid-Base-SUV-1200x800-%281%29.psd","","image","psd","","editorial/2025-Hyundai-Tucson-Hybrid-Base-SUV-1200x800-(1)","d8e4bfb05867d401a40b44888e892e0e","","upload","2024-07-18T05:42:47Z"
"2025-Hyundai-Tucson-Elite-1200x800-(5)","https://carsguide-res.cloudinary.com/image/upload/v1721280253/editorial/2025-Hyundai-Tucson-Elite-1200x800-%285%29.psd","","image","psd","","editorial/2025-Hyundai-Tucson-Elite-1200x800-(5)","79eab793eb9a60db2f1623d894c38927","","upload","2024-07-18T05:24:13Z"
"2025-Hyundai-i30-N-Hatch-Blue-1001x565-(2)","https://carsguide-res.cloudinary.com/image/upload/v1721261722/editorial/2025-Hyundai-i30-N-Hatch-Blue-1001x565-%282%29.psd","","image","psd","","editorial/2025-Hyundai-i30-N-Hatch-Blue-1001x565-(2)","53fd658bdaf1f5193211851b9ac33304","","upload","2024-07-18T00:15:22Z"
"2024-Mercedes-AMG-GLC43-SUV-Black-GS-1200x800-(8)","https://carsguide-res.cloudinary.com/image/upload/v1720590099/editorial/2024-Mercedes-AMG-GLC43-SUV-Black-GS-1200x800-%288%29.psd","","image","psd","","editorial/2024-Mercedes-AMG-GLC43-SUV-Black-GS-1200x800-(8)","b7cf65dea77d3cde66704863765800cd","","upload","2024-07-10T05:41:39Z"
"2025-Alfa-Romeo-Junior-Elettrica-Veloce-208-SUV-Red-1200x800-(9)","https://carsguide-res.cloudinary.com/image/upload/v1720498424/editorial/2025-Alfa-Romeo-Junior-Elettrica-Veloce-208-SUV-Red-1200x800-%289%29.psd","","image","psd","","editorial/2025-Alfa-Romeo-Junior-Elettrica-Veloce-208-SUV-Red-1200x800-(9)","220f9263c3a4e0904cfc446bb7e6a018","","upload","2024-07-09T04:13:44Z"
"2025-Alfa-Romeo-Junior-Elettrica-Veloce-208-SUV-Red-1200x800-(3)_0","https://carsguide-res.cloudinary.com/image/upload/v1720497873/editorial/2025-Alfa-Romeo-Junior-Elettrica-Veloce-208-SUV-Red-1200x800-%283%29_0.psd","","image","psd","","editorial/2025-Alfa-Romeo-Junior-Elettrica-Veloce-208-SUV-Red-1200x800-(3)_0","9742669272cee45059c3822eee6abcdb","","upload","2024-07-09T04:04:33Z"
"2021-RAM-1500-Warlock-DMcC-1200x800-(2)","https://carsguide-res.cloudinary.com/image/upload/v1718690300/editorial/2021-RAM-1500-Warlock-DMcC-1200x800-%282%29.psd","","image","psd","","editorial/2021-RAM-1500-Warlock-DMcC-1200x800-(2)","34b86f038f81e361e3d9e7a4c1ebde79","","upload","2024-06-18T05:58:20Z"
"2025-BMW-X3-SUV-White-Navy-1001x565-(2)","https://carsguide-res.cloudinary.com/image/upload/v1718673417/editorial/2025-BMW-X3-SUV-White-Navy-1001x565-%282%29.psd","","image","psd","","editorial/2025-BMW-X3-SUV-White-Navy-1001x565-(2)","09c0340fbb136696f539c6c293e99e1b","","upload","2024-06-18T01:16:57Z"
